territory_id,territory_name,territory_name_short,territory_raw,territory_match_key,territory_level,indent_spaces,parent_territory_id,parent_territory_name,federal_district_id,federal_district_name,source_in_vrp,source_in_employment,match_status,is_rf_total,is_federal_district,is_subject_like,is_official_subject_or_official_ao,is_overlapping_parent_region,is_nonoverlap_model_region,is_part_without_autonomous_okryg,is_nested_official_autonomous_okryg,is_aggregate_not_model_region,notes
TER001,Российская Федерация,Российская Федерация,Российская Федерация,российская федерация,РФ,0,,,,,True,True,common,True,False,False,False,False,False,False,False,False,
TER002,Центральный федеральный округ,Центральный федеральный округ,    Центральный федеральный округ,центральный федеральный округ,Федеральный округ,4,TER001,Российская Федерация,TER002,Центральный федеральный округ,True,True,common,False,True,False,False,False,False,False,False,False,
TER003,Белгородская область,Белгородская область,        Белгородская область,белгородская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER004,Брянская область,Брянская область,        Брянская область,брянская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER005,Владимирская область,Владимирская область,        Владимирская область,владимирская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER006,Воронежская область,Воронежская область,        Воронежская область,воронежская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER007,Ивановская область,Ивановская область,        Ивановская область,ивановская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER008,Калужская область,Калужская область,        Калужская область,калужская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER009,Костромская область,Костромская область,        Костромская область,костромская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER010,Курская область,Курская область,        Курская область,курская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER011,Липецкая область,Липецкая область,        Липецкая область,липецкая область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER012,Московская область,Московская область,        Московская область,московская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER013,Орловская область,Орловская область,        Орловская область,орловская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER014,Рязанская область,Рязанская область,        Рязанская область,рязанская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER015,Смоленская область,Смоленская область,        Смоленская область,смоленская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER016,Тамбовская область,Тамбовская область,        Тамбовская область,тамбовская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER017,Тверская область,Тверская область,        Тверская область,тверская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER018,Тульская область,Тульская область,        Тульская область,тульская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER019,Ярославская область,Ярославская область,        Ярославская область,ярославская область,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER020,Город Москва столица Российской Федерации город федерального значения,Город Москва столица Российской Федерации город федерального значения,        Город Москва столица Российской Федерации город федерального значения,город москва столица российской федерации город федерального значения,Субъект РФ / агрегированная строка субъекта,8,TER002,Центральный федеральный округ,TER002,Центральный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER021,Северо-Западный федеральный округ,Северо-Западный федеральный округ,    Северо-Западный федеральный округ,северо-западный федеральный округ,Федеральный округ,4,TER001,Российская Федерация,TER021,Северо-Западный федеральный округ,True,True,common,False,True,False,False,False,False,False,False,False,
TER022,Республика Карелия,Республика Карелия,        Республика Карелия,республика карелия,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER023,Республика Коми,Республика Коми,        Республика Коми,республика коми,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER024,Архангельская область,Архангельская область,        Архангельская область,архангельская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,True,False,False,False,False,Перекрывающаяся агрегированная строка: включает автономные округа; для непересекающегося регионального набора лучше использовать строку 'кроме АО' плюс соответствующие АО.
TER025,Ненецкий автономный округ (Архангельская область),Ненецкий автономный округ (Архангельская область),            Ненецкий автономный округ (Архангельская область),ненецкий автономный округ (архангельская область),Вложенная территория/часть субъекта,12,TER024,Архангельская область,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,True,False,"Автономный округ, выделенный внутри родительской области; рекомендован для непересекающегося регионального набора."
TER026,Архангельская область (кроме Ненецкого автономного округа),Архангельская область (кроме Ненецкого автономного округа),            Архангельская область (кроме Ненецкого автономного округа),архангельская область (кроме ненецкого автономного округа),Вложенная территория/часть субъекта,12,TER024,Архангельская область,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,False,False,True,True,False,False,Непересекающаяся часть субъекта; рекомендована для набора регионов без двойного счета.
TER027,Вологодская область,Вологодская область,        Вологодская область,вологодская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER028,Калининградская область,Калининградская область,        Калининградская область,калининградская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER029,Ленинградская область,Ленинградская область,        Ленинградская область,ленинградская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER030,Мурманская область,Мурманская область,        Мурманская область,мурманская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER031,Новгородская область,Новгородская область,        Новгородская область,новгородская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER032,Псковская область,Псковская область,        Псковская область,псковская область,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER033,Город Санкт-Петербург город федерального значения,Город Санкт-Петербург город федерального значения,        Город Санкт-Петербург город федерального значения,город санкт-петербург город федерального значения,Субъект РФ / агрегированная строка субъекта,8,TER021,Северо-Западный федеральный округ,TER021,Северо-Западный федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER034,Южный федеральный округ (с 29.07.2016),Южный федеральный округ,    Южный федеральный округ (с 29.07.2016),южный федеральный округ (с 29.07.2016),Федеральный округ,4,TER001,Российская Федерация,TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,True,False,False,False,False,False,False,False,
TER035,Республика Адыгея (Адыгея),Республика Адыгея (Адыгея),        Республика Адыгея (Адыгея),республика адыгея (адыгея),Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER036,Республика Калмыкия,Республика Калмыкия,        Республика Калмыкия,республика калмыкия,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER037,Республика Крым,Республика Крым,        Республика Крым,республика крым,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER038,Краснодарский край,Краснодарский край,        Краснодарский край,краснодарский край,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER039,Астраханская область,Астраханская область,        Астраханская область,астраханская область,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER040,Волгоградская область,Волгоградская область,        Волгоградская область,волгоградская область,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER041,Ростовская область,Ростовская область,        Ростовская область,ростовская область,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER042,Город федерального значения Севастополь,Город федерального значения Севастополь,        Город федерального значения Севастополь,город федерального значения севастополь,Субъект РФ / агрегированная строка субъекта,8,TER034,Южный федеральный округ (с 29.07.2016),TER034,Южный федеральный округ (с 29.07.2016),True,True,common,False,False,True,True,False,True,False,False,False,
TER043,Северо-Кавказский федеральный округ,Северо-Кавказский федеральный округ,    Северо-Кавказский федеральный округ,северо-кавказский федеральный округ,Федеральный округ,4,TER001,Российская Федерация,TER043,Северо-Кавказский федеральный округ,True,True,common,False,True,False,False,False,False,False,False,False,
TER044,Республика Дагестан,Республика Дагестан,        Республика Дагестан,республика дагестан,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER045,Республика Ингушетия,Республика Ингушетия,        Республика Ингушетия,республика ингушетия,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER046,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,        Кабардино-Балкарская Республика,кабардино-балкарская республика,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER047,Карачаево-Черкесская Республика,Карачаево-Черкесская Республика,        Карачаево-Черкесская Республика,карачаево-черкесская республика,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER048,Республика Северная Осетия-Алания,Республика Северная Осетия-Алания,        Республика Северная Осетия-Алания,республика северная осетия-алания,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER049,Чеченская Республика,Чеченская Республика,        Чеченская Республика,чеченская республика,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER050,Ставропольский край,Ставропольский край,        Ставропольский край,ставропольский край,Субъект РФ / агрегированная строка субъекта,8,TER043,Северо-Кавказский федеральный округ,TER043,Северо-Кавказский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER051,Приволжский федеральный округ,Приволжский федеральный округ,    Приволжский федеральный округ,приволжский федеральный округ,Федеральный округ,4,TER001,Российская Федерация,TER051,Приволжский федеральный округ,True,True,common,False,True,False,False,False,False,False,False,False,
TER052,Республика Башкортостан,Республика Башкортостан,        Республика Башкортостан,республика башкортостан,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER053,Республика Марий Эл,Республика Марий Эл,        Республика Марий Эл,республика марий эл,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER054,Республика Мордовия,Республика Мордовия,        Республика Мордовия,республика мордовия,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER055,Республика Татарстан (Татарстан),Республика Татарстан (Татарстан),        Республика Татарстан (Татарстан),республика татарстан (татарстан),Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER056,Удмуртская Республика,Удмуртская Республика,        Удмуртская Республика,удмуртская республика,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER057,Чувашская Республика - Чувашия,Чувашская Республика - Чувашия,        Чувашская Республика - Чувашия,чувашская республика - чувашия,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER058,Пермский край,Пермский край,        Пермский край,пермский край,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER059,Кировская область,Кировская область,        Кировская область,кировская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER060,Нижегородская область,Нижегородская область,        Нижегородская область,нижегородская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER061,Оренбургская область,Оренбургская область,        Оренбургская область,оренбургская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER062,Пензенская область,Пензенская область,        Пензенская область,пензенская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER063,Самарская область,Самарская область,        Самарская область,самарская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER064,Саратовская область,Саратовская область,        Саратовская область,саратовская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER065,Ульяновская область,Ульяновская область,        Ульяновская область,ульяновская область,Субъект РФ / агрегированная строка субъекта,8,TER051,Приволжский федеральный округ,TER051,Приволжский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER066,Уральский федеральный округ,Уральский федеральный округ,    Уральский федеральный округ,уральский федеральный округ,Федеральный округ,4,TER001,Российская Федерация,TER066,Уральский федеральный округ,True,True,common,False,True,False,False,False,False,False,False,False,
TER067,Курганская область,Курганская область,        Курганская область,курганская область,Субъект РФ / агрегированная строка субъекта,8,TER066,Уральский федеральный округ,TER066,Уральский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER068,Свердловская область,Свердловская область,        Свердловская область,свердловская область,Субъект РФ / агрегированная строка субъекта,8,TER066,Уральский федеральный округ,TER066,Уральский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER069,Тюменская область,Тюменская область,        Тюменская область,тюменская область,Субъект РФ / агрегированная строка субъекта,8,TER066,Уральский федеральный округ,TER066,Уральский федеральный округ,True,True,common,False,False,True,True,True,False,False,False,False,Перекрывающаяся агрегированная строка: включает автономные округа; для непересекающегося регионального набора лучше использовать строку 'кроме АО' плюс соответствующие АО.
TER070,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ханты-Мансийский автономный округ - Югра (Тюменская область),            Ханты-Мансийский автономный округ - Югра (Тюменская область),ханты-мансийский автономный округ - югра (тюменская область),Вложенная территория/часть субъекта,12,TER069,Тюменская область,TER066,Уральский федеральный округ,True,True,common,False,False,True,True,False,True,False,True,False,"Автономный округ, выделенный внутри родительской области; рекомендован для непересекающегося регионального набора."
TER071,Ямало-Ненецкий автономный округ (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),            Ямало-Ненецкий автономный округ (Тюменская область),ямало-ненецкий автономный округ (тюменская область),Вложенная территория/часть субъекта,12,TER069,Тюменская область,TER066,Уральский федеральный округ,True,True,common,False,False,True,True,False,True,False,True,False,"Автономный округ, выделенный внутри родительской области; рекомендован для непересекающегося регионального набора."
TER072,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),тюменская область (кроме ханты-мансийского автономного округа-югры и ямало-ненецкого автономного округа),Вложенная территория/часть субъекта,12,TER069,Тюменская область,TER066,Уральский федеральный округ,True,True,common,False,False,True,False,False,True,True,False,False,Непересекающаяся часть субъекта; рекомендована для набора регионов без двойного счета.
TER073,Челябинская область,Челябинская область,        Челябинская область,челябинская область,Субъект РФ / агрегированная строка субъекта,8,TER066,Уральский федеральный округ,TER066,Уральский федеральный округ,True,True,common,False,False,True,True,False,True,False,False,False,
TER074,Сибирский федеральный округ (с 03.11.2018),Сибирский федеральный округ,    Сибирский федеральный округ (с 03.11.2018),сибирский федеральный округ (с 03.11.2018),Федеральный округ,4,TER001,Российская Федерация,TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,True,False,False,False,False,False,False,False,
TER075,Республика Алтай,Республика Алтай,        Республика Алтай,республика алтай,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER076,Республика Тыва,Республика Тыва,        Республика Тыва,республика тыва,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER077,Республика Хакасия,Республика Хакасия,        Республика Хакасия,республика хакасия,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER078,Алтайский край,Алтайский край,        Алтайский край,алтайский край,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER079,Красноярский край,Красноярский край,        Красноярский край,красноярский край,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER080,Иркутская область,Иркутская область,        Иркутская область,иркутская область,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER081,Кемеровская область - Кузбасс,Кемеровская область - Кузбасс,        Кемеровская область - Кузбасс,кемеровская область - кузбасс,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER082,Новосибирская область,Новосибирская область,        Новосибирская область,новосибирская область,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER083,Омская область,Омская область,        Омская область,омская область,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER084,Томская область,Томская область,        Томская область,томская область,Субъект РФ / агрегированная строка субъекта,8,TER074,Сибирский федеральный округ (с 03.11.2018),TER074,Сибирский федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER085,Дальневосточный федеральный округ (с 03.11.2018),Дальневосточный федеральный округ,    Дальневосточный федеральный округ (с 03.11.2018),дальневосточный федеральный округ (с 03.11.2018),Федеральный округ,4,TER001,Российская Федерация,TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,True,False,False,False,False,False,False,False,
TER086,Республика Бурятия,Республика Бурятия,        Республика Бурятия,республика бурятия,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER087,Забайкальский край,Забайкальский край,        Забайкальский край,забайкальский край,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER088,Республика Саха (Якутия),Республика Саха (Якутия),        Республика Саха (Якутия),республика саха (якутия),Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER089,Камчатский край,Камчатский край,        Камчатский край,камчатский край,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER090,Приморский край,Приморский край,        Приморский край,приморский край,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER091,Хабаровский край,Хабаровский край,        Хабаровский край,хабаровский край,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER092,Амурская область,Амурская область,        Амурская область,амурская область,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER093,Магаданская область,Магаданская область,        Магаданская область,магаданская область,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER094,Сахалинская область,Сахалинская область,        Сахалинская область,сахалинская область,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER095,Еврейская автономная область,Еврейская автономная область,        Еврейская автономная область,еврейская автономная область,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER096,Чукотский автономный округ,Чукотский автономный округ,        Чукотский автономный округ,чукотский автономный округ,Субъект РФ / агрегированная строка субъекта,8,TER085,Дальневосточный федеральный округ (с 03.11.2018),TER085,Дальневосточный федеральный округ (с 03.11.2018),True,True,common,False,False,True,True,False,True,False,False,False,
TER097,Российская Федерация без учета новых субъектов (с 01.01.2023),Российская Федерация без учета новых субъектов,    Российская Федерация без учета новых субъектов (с 01.01.2023),российская федерация без учета новых субъектов (с 01.01.2023),Агрегат РФ: без новых субъектов,4,TER001,Российская Федерация,,,True,True,common,False,False,False,False,False,False,False,False,True,
TER098,Сухопутные территории Арктической зоны Российской Федерации,Сухопутные территории Арктической зоны Российской Федерации,Сухопутные территории Арктической зоны Российской Федерации,сухопутные территории арктической зоны российской федерации,Агрегат: сухопутная Арктическая зона РФ,0,TER001,Российская Федерация,,,True,False,vrp_only,False,False,False,False,False,False,False,False,True,Есть только в таблице ВРП.
